temperature,value
1000,-0
999.5,-2.09406e-205
999,1.11144e-112
998.5,-2.24807e-131
998,-1.48691e-33
997.5,-1.74975e-12
997,-8.27337e-12
996.5,-3.47454e-12
996,-3.98132e-05
995.5,-0.562052
995,-0.84403
994.5,-0.917061
994,-0.933024
993.5,-0.747748
993,-0.801099
992.5,-0.976989
992,-0.96082
991.5,-0.996289
991,-0.725791
990.5,-0.932674
990,-0.715573
989.5,-0.962648
989,-0.651277
988.5,-0.978232
988,-0.475717
987.5,-0.987985
987,-0.801288
986.5,-0.776802
986,-0.905109
985.5,-0.654181
985,-0.616398
984.5,-0.764793
984,-0.472146
983.5,-0.763525
983,-0.987207
982.5,-0.591962
982,-0.914054
981.5,-0.616521
981,-0.804096
980.5,-0.681033
980,-0.996106
979.5,-0.75779
979,-0.924739
978.5,-0.622105
978,-0.880765
977.5,-0.716339
977,-0.552787
976.5,-0.967307
976,-0.896341
975.5,-0.49685
975,-0.99738
974.5,-0.473169
974,-0.991597
973.5,-0.529603
973,-0.97004
972.5,-0.513164
972,-0.659366
971.5,-0.997559
971,-0.607561
970.5,-0.693785
970,-0.995334
969.5,-0.918292
969,-0.844563
968.5,-0.993126
968,-0.720957
967.5,-0.965558
967,-0.962782
966.5,-0.945012
966,-0.784788
965.5,-0.999665
965,-0.986476
964.5,-0.999757
964,-0.93245
963.5,-0.637593
963,-0.85025
962.5,-0.929653
962,-0.873792
961.5,-0.877531
961,-0.901669
960.5,-4.06239e-12
960,-4.23141e-12
959.5,-2.88395e-12
959,-8.57303e-13
958.5,4.12845e-08
958,1.15412e-12
957.5,1.7331e-11
957,-7.27534e-05
956.5,-0.973947
956,-0.262958
955.5,-0.903154
955,-0.292561
954.5,-0.580164
954,-0.945903
953.5,-0.814872
953,-0.997281
952.5,-0.935355
952,-0.422751
951.5,-0.984958
951,-0.887143
950.5,-0.977405
950,-0.359979
949.5,-0.989095
949,-0.897545
948.5,-0.99509
948,-0.782095
947.5,-0.984825
947,-0.994648
946.5,-0.0552771
946,-0.520952
945.5,-0.898866
945,-0.924425
944.5,-0.690695
944,-0.114731
943.5,-0.633089
943,-0.993307
942.5,-0.238415
942,-0.983656
941.5,-0.692958
941,-0.970713
940.5,-0.673568
940,-0.818598
939.5,-0.998534
939,-0.998526
938.5,-0.932611
938,-0.176209
937.5,-0.695623
937,-0.859792
936.5,-0.957901
936,-0.857903
935.5,-0.484577
935,-0.374852
934.5,-0.497584
934,-0.87053
933.5,-0.46921
933,-0.86675
932.5,-0.880383
932,-0.991182
931.5,-0.340656
931,-0.872989
930.5,-0.820868
930,-0.472671
929.5,-0.750423
929,-0.977552
928.5,-0.915742
928,-0.756242
927.5,-0.870742
927,-0.962742
926.5,-0.0185966
926,-0.466374
925.5,-0.967342
925,-0.486704
924.5,-0.979528
924,-0.941463
923.5,-0.877794
923,-0.540716
922.5,-0.955723
922,-0.874296
921.5,-0.85305
921,-0.804459
920.5,-0.965852
920,-0.850938
919.5,-0.536614
919,-0.729304
918.5,-0.991616
918,-0.705877
917.5,-0.660058
917,-0.932513
916.5,-0.907823
916,-0.735447
915.5,-0.893203
915,-0.669093
914.5,-0.988243
914,-0.920715
913.5,-0.95975
913,-0.979528
912.5,-0.78424
912,-0.915963
911.5,-0.935246
911,-0.342113
910.5,-0.979857
910,-0.946671
909.5,-0.875361
909,-0.895498
908.5,-0.656479
908,-0.862495
907.5,-0.465577
